Crop,DistrictName,QueryType,Season,Sector,StateName,QueryText,KccAns
Others,AMRAVATI,Weather,,AGRICULTURE,MAHARASHTRA,ASKED ABOUT THE CONTROL OF WEEDS,INFORMATION ABOUT WEATHER IN AMTAVATI DISTRICT ARE TODAY PARTLY CLOUDY WEATHER WITH LIGHT RAIN
2051,YEVATMAL,1,RABI,AGRICULTURE,MAHARASHTRA,CONTROL FOR ZINC DEFFICIE,MARCH- APRIL
Sunnhemp Patua,YEVATMAL,Fertilizer Use and Availability,KHARIF,AGRICULTURE,MAHARASHTRA,ASKED ABOUT THE CONTROL OF BLAST,apply 215:115:115  kg npk ha
1066,YEVATMAL,3,,AGRICULTURE,MAHARASHTRA,ASKED ABOUT THE CONTROL OF HISPA,FOR CONTROLLING POD BORER IN TUR CROP SPRAYING CHLOROPOYRIPHOS 20ML IN 10ML IN 10 LIT WATER
Others,YEVATMAL,0,,AGRICULTURE,MAHARASHTRA,ASKED ABOUT THE CONTROL OF SOWING SEASON,cloudy weather and 20 chances of rain
Wheat,NAGPUR,Fertilizer Use and Availability,KHARIF,AGRICULTURE,MAHARASHTRA,ASKE ABOUT FERTLISER DOSAGE,Apply DAP 100kgMOP 30kg per acre
1037,NAGPUR,2,,AGRICULTURE,MAHARASHTRA,ASKED ABOUT THE INFORMATION ON BIO-FERTILISERS,dreancing bavistin 25 gm in 10 liter of water
Wheat,NAGPUR,2,,AGRICULTURE,MAHARASHTRA,ASKED ABOUT THE CONTROL OF LEAFBLOTCH,SPRAY REDOMIL25 GM IN 10 LITER OF WATER
1066,CHANDRAPUR,3,,AGRICULTURE,MAHARASHTRA,ASKED ABOUT THE CONTROL OF SUCKING PEST,SPRAYING OF ENDOXACRB 10 ML IN 10 LIT OF WATER
Turmeric,HINGOLI,76,JAYAD,HORTICULTURE,MAHARASHTRA,ASKED ABOUT THE CONTROL OF GREEN LEAF HOPPER IN RICE,DRENCH 20ML QUINOLPHOS  20GM COC  50ML NEEMOIL IN 10 LIT OF WATER AT AN INTERVAL OF 10 DAYS
1066,WASHIM,3,,AGRICULTURE,MAHARASHTRA,ASKED ABOUT THE CONTROL OF DIE-BACK AND FRUIT ROT,spraying of endoxacarb 10 ml in 10 lit of water
1037,WASHIM,3,,AGRICULTURE,MAHARASHTRA,ASKED ABOUT THE CONTROL OF GLH,spray quinolphos 20 ml in 10 liter of water
1066,WASHIM,26,KHARIF,AGRICULTURE,MAHARASHTRA,ASKED ABOUT THE CONTROL OF TUNGRO VIRUS,spray planofix 4 ml in 10 liter of water
1037,WASHIM,3,,AGRICULTURE,MAHARASHTRA,ASKED ABOUT THE CONTROL OF GREEN LEAF HOPPER,SPRAY BIVERIA BACIANA 40 GM IN 10 LIT WATER
1066,WASHIM,3,KHARIF,AGRICULTURE,MAHARASHTRA,ASKED ABOUT THE CONTROL OF SHEATH-BLIGHT,spray cypermethrin 4 ML IN 10 LITER OF WATER
Others,WASHIM,Weather,,AGRICULTURE,MAHARASHTRA,ASKED ABOUT THE CONTROL OF BPH,INFORMATION ABOUT WEATHER IN WASHIM DISTRICT ARE TODAY PARTLY CLOUDY WEATHER WITH LITTLE SHOWERS
1280,GONDIYA,75,,HORTICULTURE,MAHARASHTRA,ASKED ABOUT THE CONTROL OF MITES,spray imidacropid 4 ml in 10 liter of water
Onion,GONDIYA,78,,HORTICULTURE,MAHARASHTRA,ASKED ABOUT THE CONTROL OF SUCKINGPEST,N-2-4-1 PHULE SUVARNA
1289,RI BHOI,Soil Testing,,HORTICULTURE,MEGHALAYA,ASKED ABOUT THE GROWING SEASON AND CROP PERIOD OF 1010 PADDY VARIETY,It requires a cool and moist growing season Temp: 10 oC - 25 oC pH: 55 - 66 Cauliflower can be grown on wide range of welldrained soilsHowever sandy loam Clay loam is best for cultivation of Cauliflower
Others,JODHPUR,29,KHARIF,AGRICULTURE,RAJASTHAN,ASKED ABOUT THE CONTROL OF SHEATHBLIGHT,RZ-19 RZ-209
Black Gram urd bean,THANJAVUR,1,KHARIF,AGRICULTURE,TAMILNADU,GONAPAPETANARSANNAPETA M,black gram season feb - mar and variety ADT 5
1137,VILLUPPURAM,3,KHARIF,AGRICULTURE,TAMILNADU,ASKED ABOUT THE SOIL TYPE FOR SOWING GROUNDNUT,spray monocrotophos 2ml  neem oil 3ml  lit of water
Others,AIZAWL,31,,ANIMAL HUSBANDRY,MIZORAM,ASKED ABOUT CM PASHUKRANTHI PATHAKAMU,inform to inquiering to the Agriculture department
9999,SRIKAKULAM,9999,KHARIF,9999,ANDHRA PRADESH,ASKED ABOUT CM PASHUKRANTHI PATAKAMU,ADVICED HIM NOT TO APPLY TOGETHER
1137,SRIKAKULAM,3,KHARIF,AGRICULTURE,ANDHRA PRADESH,ASKED ABOUT THE WEATHER REPORT,RECOMMENDED TO SPRAY CARBOFURON 3G GRANULES 10KGACRE
9999,SRIKAKULAM,9999,KHARIF,9999,ANDHRA PRADESH,ASKED ABOUT THE CONTROL OF SHEATH BLIGHT,REMOVE ROGGING THE PLANTS
9999,SRIKAKULAM,9999,KHARIF,9999,ANDHRA PRADESH,ASKED ABOUT THE PHONE NUMBER OF JD ANIMAL HUSBANDRY,RECOMMENDED 48-24-20
9999,SRIKAKULAM,9999,KHARIF,9999,ANDHRA PRADESH,ASKED ABOUT THE CONTROL OF THRIPS,RECOMMENDED TO SPRAY ACEPHATE 15GRLITRE
9999,SRIKAKULAM,9999,KHARIF,9999,ANDHRA PRADESH,ASKED ABOUT THE VARIETIES,RECOMMENDED TO CHOOSE RDR-355 WGL-32100
1037,SRIKAKULAM,3,KHARIF,AGRICULTURE,ANDHRA PRADESH,ASKED ABOUT THE CONTROL OF MIDZE FLY IN CHILLI,RECOMMENDED TO SPRAY ROGOR15GRLIT
9999,SRIKAKULAM,9999,KHARIF,9999,ANDHRA PRADESH,ASKED ABOUT THE VARITIES,RECOMMENDED TO SPRAY DIMETHOATE 2MLLT
9999,SRIKAKULAM,9999,KHARIF,9999,ANDHRA PRADESH,ASKED ABOUT THE CONTROL OF CUSCUTA,RECOMMENDED TO SPRAY MANCOZEB MIXED WITH 3UREA
9999,SRIKAKULAM,9999,KHARIF,9999,ANDHRA PRADESH,ASKED ABOUT THE CONTROL OF MANGO HOPPERS,RECOMMENDED TO SPRAY ROGOR 2MLLITRE
1137,SRIKAKULAM,2,KHARIF,AGRICULTURE,ANDHRA PRADESH,ASKED ABOUT THE CONTROL OF STEM BORER IN MAIZE,RECOMMENDED TO SPRAY TRICYCLOZOLE 06 GMLTR
1037,SRIKAKULAM,3,KHARIF,AGRICULTURE,ANDHRA PRADESH,ASKED ABOUT THE CONTROL OF FRUIT AND SHOOT BORER IN BRINJAL,RECOMMENDED TO SPRAY ACEPHATE15GRAMSLITER
1280,SRIKAKULAM,29,KHARIF,HORTICULTURE,ANDHRA PRADESH,ASKED ABOUT THE CONTROL OF FRUIT DROP,RECOMMENDED TO SPRAY ACEPHATE15GRAMSLITER
Sunflower suryamukhi,SRIKAKULAM,3,KHARIF,AGRICULTURE,ANDHRA PRADESH,ASKED ABOUT CONTROL FOR FLOWER DROPPING,RECOMMENDED TO SPRAY THIODICARB 15MLLT
9999,SRIKAKULAM,9999,KHARIF,9999,ANDHRA PRADESH,ASKED ABOUT THE CONTROL OF SHEATHBLIGHT IN PADDY,RECOMMENDED TO SPRAY MgSO4 2GRLITRE
Rabbit,SRIKAKULAM,45,KHARIF,ANIMAL HUSBANDRY,ANDHRA PRADESH,ASKED ABOUT THE CONTROL OF BPH IN RICE,ESC TO AH
9999,SRIKAKULAM,9999,KHARIF,9999,ANDHRA PRADESH,ASKED ABOUT THE CONTROL OF LEAF WEBBER IN MANGO,RECOMMENDED TO SPRAY SPRAY MANCOZEB 3GMLT
Tobacco,SRIKAKULAM,3,KHARIF,AGRICULTURE,ANDHRA PRADESH,ASKED ABOUT CONTROL FOR LEAF FOLDER,RECOMMENDED TO SPRAY QUINOLPHAS 2 MLLTR
9999,SRIKAKULAM,9999,KHARIF,9999,ANDHRA PRADESH,ASKED ABOUT SOWING SEASON,RECOMMENDED TO SPRAY TRYCYCLOZOLE06GRAMSLITER
9999,SRIKAKULAM,9999,RABI,9999,ANDHRA PRADESH,ASKED ABOUT CONTROL FOR THRIPS,RECOMMENDED TOSPRAY BENTHIOCARP 15LTRACRE
9999,SRIKAKULAM,9999,RABI,9999,ANDHRA PRADESH,ASKED ABOUT THE CONTROL OF SMUT IN SUGAR CANE,RECOMMENDED TO SPRAY CLORIPHIRIPHOS 2ML1L WATER
9999,SRIKAKULAM,9999,RABI,9999,ANDHRA PRADESH,ASKED ABOUT THE CONTROL ROT ROT IN GROUND NUT,RECOMMENDED TO SPRAY ROGOR 2MLLITRE
9999,SRIKAKULAM,9999,RABI,9999,ANDHRA PRADESH,ASKED ABOUT THE CONTROL OF STONE WEEVIL,RECOMMENDED TO SPRAY LINDANE POWDER
9999,SRIKAKULAM,9999,RABI,9999,ANDHRA PRADESH,ASKED ABOUT THE CONTROL OF FRUIT BORER IN MANGO,RECOMMENDED TO SPRAY CARBARILSAND 25GM1HOLE
9999,SRIKAKULAM,9999,RABI,9999,ANDHRA PRADESH,ASKED ABOUT CONTROL OF TURCICUM LEAF BLIGHT,RECOMMENDED TO SPRAY CHLORPYRIPOS 25MLLITRE
9999,SRIKAKULAM,9999,RABI,9999,ANDHRA PRADESH,ASKED ABOUT CONTROL FOR RATS,RECOMMENDED TO SOW IN RAINY SEASON
9999,SRIKAKULAM,9999,KHARIF,9999,ANDHRA PRADESH,ASKED ABOUT CONTROL FOR POWDERY MILDEW DAMAGE,RECOMMANDED VARITY SUREKASS-401
9999,SRIKAKULAM,9999,KHARIF,9999,ANDHRA PRADESH,ASKED ABOUT THE CONTROL OF ROOT ROT IN GROUND NUT,MANCOZEB 2GMLT OF WATER
9999,SRIKAKULAM,9999,RABI,9999,ANDHRA PRADESH,ASKED ABOUT THE CONTROL OF STEM BORER,RECOMMENDED TO SPRAY ACEPHATE 15GRLITRE
1137,SRIKAKULAM,1,JAYAD,AGRICULTURE,ANDHRA PRADESH,ASKE ABOUT THE CONTROL OF FRUIT DROP IN MANGO,RECOMMNDED TO TREAT THE SEEDS WITH MANCOZEB 4GMKG SEED
9999,SRIKAKULAM,9999,JAYAD,9999,ANDHRA PRADESH,ASKED ABOUT BHENDI VARIETIES,ESC TO AH
9999,SRIKAKULAM,9999,JAYAD,9999,ANDHRA PRADESH,ASKED ABOUT THE CONTROL OF EARLY BLIGHT,RECOMMENDED TO SPRAY BENTHIOCARB 125LT ACRE
9999,SRIKAKULAM,9999,JAYAD,9999,ANDHRA PRADESH,ASKED ABOUT VARIETIES FOR KHARIF SEASON,RECOMMENDED TO SPRAY BENTHIOCARB 15ML
9999,SRIKAKULAM,9999,JAYAD,9999,ANDHRA PRADESH,ASKED ABOUT INFORMATION ON SETS TREATMENT,RECOMMENDED TO APPLY 200KGS N 200KGS P 400KGS K PER ACRE PLANTS
9999,SRIKAKULAM,9999,JAYAD,9999,ANDHRA PRADESH,ASKED ABOUT CONTROL OF SHEATH BLIGHT,RECOMMENDED TO SPRAY BUTACLORE 15-2 LITACRE
9999,SRIKAKULAM,9999,JAYAD,9999,ANDHRA PRADESH,ASKED ABOUT CONTROL FOR SHAETH BLIGHT,RECOMMENDED TO SPRAY BUTACHLORE 15LIT 200LIT WATERACRE
9999,SRIKAKULAM,9999,JAYAD,9999,ANDHRA PRADESH,ASKED ABOUT MITE DAMAGE IN COCONUT,ESC TO ATIC
9999,SRIKAKULAM,9999,JAYAD,9999,ANDHRA PRADESH,ASKED ABOUT THE CONTROL OF SHEATH BLIGHT IN PADDY,RECOMMENDED TO SPRAY CARBOFURON GRANULES 10KGS PER ACRE
9999,SRIKAKULAM,9999,JAYAD,9999,ANDHRA PRADESH,ASKED ABOUT VARIETIES,RECOMMENDED TO SPRAY ALACHLOR  15 LITACRE
9999,SRIKAKULAM,9999,JAYAD,9999,ANDHRA PRADESH,ASKED ABOUT THE CONTROL OF BPH IN PADDY,RECOMMENDED TO SPRAY ZINCSULPHATE 2GMLIT
9999,SRIKAKULAM,9999,JAYAD,9999,ANDHRA PRADESH,ASKED ABOUT CONTROL OF TERMITES IN MANGO,RECOMMENDED TO SPRAY 32KGS N 24KGS P 16KGS K
9999,SRIKAKULAM,9999,JAYAD,9999,ANDHRA PRADESH,ASKED ABOUT CONTROL FOR RATS DAMAGE,RECOMMENDED TO SPRAY BENTIOCORP 15LITACRE
9999,SRIKAKULAM,9999,JAYAD,9999,ANDHRA PRADESH,ASKED ABOUT CONTROL OF SHEATH ROT IN RICE,RECOMMENDED TO SPRAY TRICYCLOZOLE  06glit OF WATER
9999,SRIKAKULAM,9999,JAYAD,9999,ANDHRA PRADESH,ASKED ABOUT CONTROL OF FRUIT DAMAGE IN JOWAR,RECOMENDED FOR THE APPLICATION OF MONOCROTOPHOS16MLLIT
9999,SRIKAKULAM,9999,JAYAD,9999,ANDHRA PRADESH,ASKED ABOUT VARITIES IN SESAMUM,SUGGESTED TO SOW IN OCTOBER
9999,SRIKAKULAM,9999,JAYAD,9999,ANDHRA PRADESH,ASKED ABOUT VARIETIES WHICH ARE RESISTANT FOR RICE BLAST IN KHARIF SEASON,INFORMED TO THAT DOSAGE IS 32KG N24KG P16-20KG K
9999,SRIKAKULAM,9999,JAYAD,9999,ANDHRA PRADESH,ASKED ABOUT VARITIES OF SESAMUM,RECOMMENDED TO SPRAY TRICYCLOZOLE  05glit OF WATER
9999,SRIKAKULAM,9999,JAYAD,9999,ANDHRA PRADESH,ASKED ABOUT CONTROL FOR PINK BOLLWORM,GIVEN THE REQUIRED INFORMATION TO THE FARMER ON BIO-FERTILISERS
9999,SRIKAKULAM,9999,KHARIF,9999,ANDHRA PRADESH,ASKED ABOUT CONTROL FOR STORAGE PESTS,RECOMENDED FOR THE APPLICATION OF CARBANDEZIM 1GLIT
9999,SRIKAKULAM,9999,KHARIF,9999,ANDHRA PRADESH,ASKED ABOUT FRUIT FALL IN MANGO,RECOMENDED TO SPRAY PENDIMETHALYN 13-16LITACRE
9999,SRIKAKULAM,9999,KHARIF,9999,ANDHRA PRADESH,ASKED ABOUT BIRD REARING,RECOMENDED TO SPRAY DIMETHOATE 2MLLIT
1137,SRIKAKULAM,3,KHARIF,AGRICULTURE,ANDHRA PRADESH,EASILY PULL OUT OF SUGARCANE,RECOMMENDED TO SPRAY ETHOPENPHOS15MLLIT
1137,SRIKAKULAM,3,KHARIF,AGRICULTURE,ANDHRA PRADESH,ASKED ABOUT CONTROL FOR FRUIT BORER DAMAGE,RECOMMENDED TO SPRAY MONOCROTOPHOS 16MLLIT
9999,SRIKAKULAM,9999,KHARIF,9999,ANDHRA PRADESH,ASKED ABOUT CONTROL OF STEM BORER IN JOWAR,RECOMMENDED TO SPRAY CAPTAN 15 GRLIT
9999,SRIKAKULAM,9999,KHARIF,9999,ANDHRA PRADESH,ASKED ABOUT THE RICE VARIETIES,RECOMMENDED TO SPRAY ETHOFENPHOS 15MLLIT
9999,SRIKAKULAM,9999,KHARIF,9999,ANDHRA PRADESH,ASKED ABOUT CONTROL OF RICE STEM BORER,RECOMMENDED TO SPRAY ETHOFENPHOS 15 MLLIT
9999,SRIKAKULAM,9999,KHARIF,9999,ANDHRA PRADESH,ASKED ABOUT THE EARLY SOWING,RECOMENDED TO SPRAY MONOCROTOPHOS 2MLLIT
9999,SRIKAKULAM,9999,KHARIF,9999,ANDHRA PRADESH,ASKED ABOUT COTROL OF MITES,RECOMMENDED TO SPRAY HEXACONOZOLE 2 MLLIT
Brussils Sprouts,SRIKAKULAM,78,KHARIF,HORTICULTURE,ANDHRA PRADESH,ASKED ABOUT THE WEEDICIDE,RECOMMENDED TO SPRAY BPMC 2 MLLIT
Ber,SRIKAKULAM,83,KHARIF,HORTICULTURE,ANDHRA PRADESH,ASKED ABOUT AGRICULTURE IMPLEMENTS,RECOMMENDED TO SPRAY DICOFAL 3MLLIT
Others,SRIKAKULAM,3,KHARIF,AGRICULTURE,ANDHRA PRADESH,ASKED ABOUT THE CONTROL OF RUSTANTHRACNOSE,RECOMMENDED TO SPRAY DICOFAL 3MLLIT
Coconut,SRIKAKULAM,76,KHARIF,HORTICULTURE,ANDHRA PRADESH,ASKECX ABOUT THE SOWING SEASON,RECOMMENDED TO SPRAY DICOFAL 3MLLIT
Others,SRIKAKULAM,29,KHARIF,AGRICULTURE,ANDHRA PRADESH,ASKED ABOUT SEED TREATMENT OF TURMERIC,RECOMMENDED TO SPRAY BORAX 3gmLIT
1275,SRIKAKULAM,91,KHARIF,HORTICULTURE,ANDHRA PRADESH,ASKED ABOUT FERTILIZER DOSAGE IN OILPALM IN THIRD YEAR,RECOMMENDED TO RAISE IN RABI
Watermelon,SRIKAKULAM,76,KHARIF,HORTICULTURE,ANDHRA PRADESH,ASKED ABOUT THE WEED CONTROL,RECOMMENDED TO SPRAY BORAX 3gmLIT
1137,SRIKAKULAM,1,KHARIF,AGRICULTURE,ANDHRA PRADESH,ASKED ABOUT CONTROL FOR SUCKING PESTS DAMAAGE,RECOMMENDED TO RAISE IN RABI
Honey plant,SRIKAKULAM,0,,AGRICULTURE,ANDHRA PRADESH,ASKED ABOUT REMEDY FOR ZINC DEFFICIENCY,RECOMMENDED TO SPRAY VALIDACIN 2 MLLIT OR HEXACONOZOLE 2 MLLIT
Honey plant,SRIKAKULAM,17,KHARIF,AGRICULTURE,ANDHRA PRADESH,ASKED ABOUT THE CONTROL OF FRUIT BORER,
Groundnut pea nutmung phalli,SRIKAKULAM,Soil Testing,KHARIF,AGRICULTURE,ANDHRA PRADESH,ASKED ABOUT INFORMATION ON DRUM SEED TECHNIQUE,RECOMMENDED SOIL TYPES ARE SANDYRED SOILS
Others,SRIKAKULAM,29,,AGRICULTURE,ANDHRA PRADESH,ASKED ABOUT WEATHER DATA,INFORMMED TO AS PER THE PROVIDED DATA
964,SRIKAKULAM,31,KHARIF,ANIMAL HUSBANDRY,ANDHRA PRADESH,ASKED ABOUT THE CONTROL OF STEM BORER DAMAGE,INFORMMED TO AS PER THE PROVIDED DATA
Others,SRIKAKULAM,29,KHARIF,AGRICULTURE,ANDHRA PRADESH,ASKED ABOUT THE CONTROL OF ZINC DEFECIENCY,INFORMED AS PER THE PROVIDED DATA
Others,SRIKAKULAM,29,KHARIF,AGRICULTURE,ANDHRA PRADESH,ASKED ABOUT CONTROL FOR LEAFFOLDER DAMAGE,RECOMMENDED TO SPRAY VALIDACIN 2 MLLIT
Others,SRIKAKULAM,Weather,KHARIF,AGRICULTURE,ANDHRA PRADESH,ASKED ABOUT CONTROL FOR POWDERY MILDEW,INFORMED AS PER THE PROVIDED DATA
1137,SRIKAKULAM,3,KHARIF,AGRICULTURE,ANDHRA PRADESH,ASKED ABOUT INFORMATION ON BIOFERTILIZER,RECOMMENDED TO SPRAY VALIDACIN 2 MLLIT
1275,SRIKAKULAM,91,KHARIF,HORTICULTURE,ANDHRA PRADESH,ASKED ABOUT THE FERTILIZER DOSAGE,PROVIDED HIM WITH THE CONTACT NO
964,SRIKAKULAM,31,KHARIF,ANIMAL HUSBANDRY,ANDHRA PRADESH,ASKED ABOUT FERTILISER DOSAGE,PROVIDED HIM WITH THE CONTACT NO
2827,SRIKAKULAM,Water Management,,AGRICULTURE,ANDHRA PRADESH,ASKED ABOUT THE CONTROL OF HOPPER,
2827,SRIKAKULAM,Water Management,,AGRICULTURE,ANDHRA PRADESH,ASKEDA ABOUT THE CONTROL OF FRUIT BORER,RECOMMENDED TO SPRAY FASALON 3 MLLIT OR MONOCROTOPHOS 15 MLLIT
1137,SRIKAKULAM,2,KHARIF,AGRICULTURE,ANDHRA PRADESH,SAKED ABOUT THE CONTROL OF RUST DISEASE,RECOMMENDED TO SPRAY VALIDACIN 2 MLLIT OR HEXACONOZOLE 2 MLLIT
1280,SRIKAKULAM,76,KHARIF,HORTICULTURE,ANDHRA PRADESH,ASKED ABOUT THE CONREOL OF STEM BORER,RECOMMENDED TO SPRAY FASALON 3 MLLIT OR MONOCROTOPHOS 15 MLLIT
2767,SRIKAKULAM,5,KHARIF,AGRICULTURE,ANDHRA PRADESH,ASKED ABOUT THE CONTROL OF GUNDHIBUG,RECOMMENDED VARIETIES ARE IGFRI-3808TNDN-1
1280,SRIKAKULAM,76,KHARIF,HORTICULTURE,ANDHRA PRADESH,ASKED ABOUT THE CONTROL OF GREENLEAF HOPPER,RECOMMENDED TO SPRAY QUINOLPHOS 2MLLIT
Watermelon,SRIKAKULAM,78,KHARIF,HORTICULTURE,ANDHRA PRADESH,ASKED ABOUT THE CONTROL OF SHEATROT,RECOMMENDED VARITY OFGREEN GOLD
9999,VIZIANAGARM,9999,KHARIF,9999,ANDHRA PRADESH,ASKED ABOUT THE FERTILIZER DOSAGE FOR RICE NURSERY,RECOMMENDED TO SPRAY PERSUIT 200MLLTR
1268,VIZIANAGARM,29,KHARIF,HORTICULTURE,ANDHRA PRADESH,ASKED ABOUT CONTROL OF SHEATH ROT,RECOMMENDED TO SPRAY PHASPHOMIDON 05MLLT
1075,VIZIANAGARM,3,KHARIF,AGRICULTURE,ANDHRA PRADESH,ASKED ABOUT THE CONTROL OF SHEATH ROT,RECOMMENDED TO SPRAY MONOCROTOPHOS2MLLIT
1279,VIZIANAGARM,29,KHARIF,HORTICULTURE,ANDHRA PRADESH,ASKED ABOUT THE SOWING SEASON,RECOMMENDED TO SPRAY PROFINOPHOS2MLLIT
9999,VIZIANAGARM,9999,KHARIF,9999,ANDHRA PRADESH,ASKED ABOUT HYBRID NAPIAR GRASS VARITIES AND SOWING SEASON,RECOMMENDED TO APPLY POTASH AND BLITOX 3GMLTR
9999,VIZIANAGARM,9999,KHARIF,9999,ANDHRA PRADESH,ASKED ABOUT THE CONTROL OF FLOWER DROP,RECOMMENDED TO SPRAY PLANOPHIX 1ML5LT
9999,VIZIANAGARM,9999,KHARIF,9999,ANDHRA PRADESH,ASKED ABOUT THE CONTROL OF WHITE FLY,RECOMMENDED TO SPRAY HEXACONAZOLE2MLLIT
1137,VIZIANAGARM,3,KHARIF,AGRICULTURE,ANDHRA PRADESH,ASKED ABOUT THE CONTROL FOR FLOWER DROP,RECOMMENDED TO SPRAY ACEPHATE 15GMLT
1268,VIZIANAGARM,29,KHARIF,HORTICULTURE,ANDHRA PRADESH,ASKED ABOUT THE WEATHER REPORT OF PARVATIPURAM,RECOMMENDED TO SPRAY QUINOLPHOS 2MLLT
9999,VIZIANAGARM,9999,KHARIF,9999,ANDHRA PRADESH,ASKED ABOUT CONTROL OF LEAFSPOT,RECOMMENDED TO APPLY QUINALPHOS 2MLLT
9999,VIZIANAGARM,9999,KHARIF,9999,ANDHRA PRADESH,ASKED ABOUT THE CONTROL OF MIDGE FLY,RECOMMENDED TO GIVE 20-25CMS IN BETWEEN THE PLANTS
1075,VIZIANAGARM,3,KHARIF,AGRICULTURE,ANDHRA PRADESH,ASKED ABOUT THE CONTRL OF WEEDS,RECOMMENDED CARBOFURAN GRANULES3KGSACRE
9999,VIZIANAGARM,9999,KHARIF,9999,ANDHRA PRADESH,ASKED ABOUT THE CONTROL OF FRIUIT DROPIN MANGO,RECOMMENDED TO SPRAY IMEDACHLOPRID 2MLLT
9999,VIZIANAGARM,9999,KHARIF,9999,ANDHRA PRADESH,ASKED ABOUT THE CONTROL OF SUKING PEST IN MANGO,RECOMMENDED TO SPRAY PROPICONAZOLE05MLLITER
9999,VIZIANAGARM,9999,KHARIF,9999,ANDHRA PRADESH,ASKED ABOUT THE CONTROL OF BACTERIAL WILT IN BRINJAL,RECOMMENDED TO SPRAY MANCOZED3GRAMSLITER
9999,VIZIANAGARM,9999,KHARIF,9999,ANDHRA PRADESH,ASKED ABOUT CONTROL FOR CHILLI THRIPS,RECOMMENDED TO SPRAY ROGOR 2MLLITRE
9999,VIZIANAGARM,9999,KHARIF,9999,ANDHRA PRADESH,ASKEC ABOUT THE CONTROL OF POWDERY MILDEW IN CUCURBITS,RECOMMENDED TO SPRAY TRYCYCLOZOLE06GRAMSLITER
9999,VIZIANAGARM,9999,KHARIF,9999,ANDHRA PRADESH,ASKED ABOUT THE CONTROL OF BLAST IN RICE,RECOMMENDED TO SPRAY MONOCROTOPHAS 16MLLTR
1268,VIZIANAGARM,29,KHARIF,HORTICULTURE,ANDHRA PRADESH,ASKED ABOUT CONTROL FOR SCALES,ESCALATION TO LEVEL TO 2
9999,VIZIANAGARM,9999,KHARIF,9999,ANDHRA PRADESH,ASKED ABOUT INFORMATION FOR TURKEY BIRDS,RECOMMENDED TO SPRAYMANCOZEB 2GMLT
9999,VIZIANAGARM,9999,KHARIF,9999,ANDHRA PRADESH,ASKED ABOUT CONTROL FOR RICE BLAST,RECOMMENDED TO MAKE THE MIXER OF BROMADIOLONE OIL PADDY MIXTURE AND PUT IT INTO THE HOLE
9999,VIZIANAGARM,9999,KHARIF,9999,ANDHRA PRADESH,ASKED ABOUT MARKET PRICE IN MAIZE,RECOMMENDED TO SPRAY WETTABLE SULPHER 3GRLITRE
9999,VIZIANAGARM,9999,KHARIF,9999,ANDHRA PRADESH,ASKED ABOUT THE CONTROL OF WEEDS IN SUGAR CANE CROP,RECOMMENDED TO SPRAY MANCOZED600GRAMSACRE
9999,VIZIANAGARM,9999,KHARIF,9999,ANDHRA PRADESH,ASKED ABOUT CONTROL OF WEEDS IN SUGAR CANE CROP,RECOMMENDED TO SPRAY HEXACONOZOLE 2MLLTR
9999,VIZIANAGARM,9999,KHARIF,9999,ANDHRA PRADESH,ASKED ABOUT CONTROL OF WILTING OF CITRUS PLANTS,RECOMMENDED TO SPRAY CARTAPHYDROCHLORIDE 2 GMLTR
9999,VIZIANAGARM,9999,KHARIF,9999,ANDHRA PRADESH,ASKED ABOUT SEED TREATMENT,RECOMMENDED TO SPREAY TRYCYCLOZOLE06GRAMSLITER
1268,VIZIANAGARM,Fertilizer Use and Availability,KHARIF,HORTICULTURE,ANDHRA PRADESH,ASKED ABOUT FLOWERING IN PAPAYA,RECOMMENDED TO SPRAY PLANOFIX1MLLITER
9999,VIZIANAGARM,9999,KHARIF,9999,ANDHRA PRADESH,ASKED ABOUT THE FARM IMPLEMENTS,RECOMMENDED VARIETIES ARE ARKAANAMIKA ARKAABAYA
9999,VIZIANAGARM,9999,RABI,9999,ANDHRA PRADESH,ASKED ABOUT INFORMATION ON RABBIT FARM,RECOMMENDED TO SPRAY MANCOZEB 3GMLTR
9999,VIZIANAGARM,9999,RABI,9999,ANDHRA PRADESH,ASKED ABOUT THE SEEDRATE,RECOMMENDED TO CHOOSE YALAMANCHILI 11 OR 17
9999,VIZIANAGARM,9999,RABI,9999,ANDHRA PRADESH,ASKED ABOUT CONTROL FOR FLOWER DROP,RECOMMENDED TO MALATHION 2ML1L WATER SOAK THE SETS IN SOLUTION FOR 15 MIN
9999,VIZIANAGARM,9999,RABI,9999,ANDHRA PRADESH,ASKED ABOUT THE RABBIT REARING,RECOMMENDED TO SPRAY HEXACONAZOLE 2ML1L WATER
9999,VIZIANAGARM,9999,RABI,9999,ANDHRA PRADESH,ASKED ABOUT THE SRI CULTIVATION,RECOMMENDED TO SPRAY CONTOFF 2MLLITRE
9999,VIZIANAGARM,9999,RABI,9999,ANDHRA PRADESH,ASKED ABOUT CONTROL FOR SUCKING PESTS CONTROL,RECOMMENDED TO SPRAY DICOFAL 5MLLT
9999,VIZIANAGARM,9999,RABI,9999,ANDHRA PRADESH,ASKED ABOUT RICE VARITIE,RECOMMENDED TO SPRAY HEXACONAZOLE2MLLITER
9999,VIZIANAGARM,9999,RABI,9999,ANDHRA PRADESH,ASKED ABOUT CONTROL OF RICE STEM BORER IN PADDY,RECOMMENDED TO SPRAY TRYCYCLOZOLE06GRAMSLITER
